卡牌,角色,阶段,情绪,台词
0,卖,开场,平,{opponent}，咱俩谁跟谁啊，这块地我报个友情价——{price}元，你听听？
0,卖,开场,平,来来来{opponent}，别急着还价！我这人开价向来实在：{price}元，交个朋友嘛！
0,卖,开场,得意,这块地我看人报价，你嘛……{price}元！亏心价我都舍得给，够意思吧？
1,卖,开场,平,地段、市价、行情，我都核过了。{price}元，一分不多要。
1,卖,开场,平,{opponent}，我报价向来公道：{price}元。你觉得贵，咱们可以慢慢谈。
2,卖,开场,得意,哟，{opponent}？就冲你这身家……{price}元，童叟无欺——欺的就是你这样的。
2,卖,开场,平,我打眼一看你就是懂行的。{price}元，识货的人抢着要，你考虑考虑。
3,卖,开场,怒,废话少说，{price}元！少一个子儿，这块地你就别想碰！
3,卖,开场,平,{price}元，一口价。爱买不买，我等得起。
0,买,开场,平,{opponent}，都是场面上的人，我直接说了——{price}元，给个面子？
0,买,开场,平,我诚心想要，也给你留了诚意：{price}元。咱们商量着来嘛。
1,买,开场,平,按行情我出{price}元，合理不合理，你我心里都有数。
1,买,开场,平,{opponent}，{price}元，这是市价打过的数，不虚。
2,买,开场,平,我打听过了，你这地也就值{price}元——别不识货哦？
2,买,开场,得意,{opponent}，不是我说你，这地段放我手里才值钱。{price}元，我抬举你。
3,买,开场,怒,{price}元，多一分没有！你要嫌少，咱们租金上见！
3,买,开场,平,我只说一遍：{price}元。要么成交，要么免谈。
0,卖,选项1,怒,{opponent}，你这就不够意思了啊！{offer}元——再看在我的面子上让一步！
0,卖,选项1,平,哎哎别伤感情！{offer}元，我这已经是割肉了！
0,卖,选项2,平,行行行，退一步海阔天空——{offer}元，够朋友了吧？
0,卖,选项2,惊,你猜怎么着，我心一软：{offer}元！就冲咱俩的交情！
0,卖,选项3,惊,……罢了罢了！{offer}元！回头你可别说我不会做生意！
0,卖,选项3,平,谁让咱俩投缘呢！{offer}元，就当交你这个朋友！
1,卖,选项1,平,{offer}元。这是我核算过成本后的让步，合情合理。
1,卖,选项1,怒,{opponent}，这不是感情问题，是数字问题。{offer}元。
1,卖,选项2,平,各让一步：{offer}元。这个数对得起行情。
1,卖,选项2,平,我调整到{offer}元。公道买卖，童叟无欺。
1,卖,选项3,平,……{offer}元。说实话，这已经贴着我的底线了。
1,卖,选项3,得意,看在你诚心的份上——{offer}元，下次别这么会砍。
2,卖,选项1,得意,哟，跟我还价？{opponent}，就你？{offer}元，爱听不听。
2,卖,选项1,平,{offer}元……行吧，谁让我今天心情好。
2,卖,选项2,平,好好好，看你是老主顾的份上：{offer}元。
2,卖,选项2,得意,{offer}元！这价放出去我要被同行笑话的——所以要悄悄成交哦。
2,卖,选项3,惊,嚯！你这张嘴我是服了……{offer}元！快拿走！
2,卖,选项3,平,得，遇上你这号人。{offer}元，我认了。
3,卖,选项1,怒,{offer}元！别得寸进尺，我的耐心是有限度的！
3,卖,选项1,怒,你再说一遍那个数试试？{offer}元，最终价！
3,卖,选项2,怒,……{offer}元！你要再磨蹭，这块地我立刻收回来！
3,卖,选项2,平,行，{offer}元。但我警告你，别把我的客气当福气。
3,卖,选项3,惊,{offer}元？！……哼，算你狠！今天破例！
3,卖,选项3,平,{offer}元，最后一口。再还价，我们就此别过。
