卡牌,角色,阶段,情绪,台词
0,卖,开场,平,"{opponent}, come on — we're practically family. Friend price for this land: {price} yuan. What do you say?"
0,卖,开场,平,I price differently for different people. For you... {price} yuan! I'm practically giving it away — that's how much I value our friendship.
0,卖,开场,得意,I price differently for different people. For you... {price} yuan! I'm practically giving it away — that's how much I value our friendship.
1,卖,开场,平,"I've checked the location, market rate, everything. {price} yuan. Not a yuan more, not a yuan less."
1,卖,开场,平,"Oh, {opponent}? Given your standing... {price} yuan. Honest pricing — honest enough to fleece YOU properly."
2,卖,开场,得意,"Oh, {opponent}? Given your standing... {price} yuan. Honest pricing — honest enough to fleece YOU properly."
2,卖,开场,平,One look and I can tell you know quality. {price} yuan. I've got serious buyers looking at this — think it over.
3,卖,开场,怒,Cut the chatter. {price} yuan. One yuan less and you can forget about this land entirely!
3,卖,开场,平,{price} yuan. Take it or leave it. I've got all the time in the world.
0,买,开场,平,"{opponent}, we're both people of standing here. Let me be direct: {price} yuan. Do me this favor?"
0,买,开场,平,I genuinely want this land. So here's my honest offer: {price} yuan. Let's work something out together.
1,买,开场,平,"By current market value, {price} yuan. We both know that's fair."
1,买,开场,平,"{opponent}, {price} yuan. Market price. No markup."
2,买,开场,平,"{opponent}, let's be honest — this land is only worth something in MY hands. {price} yuan. I'm giving you a chance to make some money."
2,买,开场,得意,"{opponent}, let's be honest — this land is only worth something in MY hands. {price} yuan. I'm giving you a chance to make some money."
3,买,开场,怒,{price} yuan. Not a yuan more! Don't like it? Then let's settle this with rent instead!
3,买,开场,平,I'll say this once: {price} yuan. Deal or walk away.
0,卖,选项1,怒,"{opponent}, this is just rude! {offer} yuan — meet me halfway, as a friend!"
0,卖,选项1,平,"Hey hey, don't break my heart here! {offer} yuan — I'm already taking a hit here!"
0,卖,选项2,平,"Alright, alright, taking a step back: {offer} yuan. That's friend territory, right?"
0,卖,选项2,惊,"Wait, really? My heart just softened: {offer} yuan! Just for our friendship!"
0,卖,选项3,得意,...Fine! FINE! {offer} yuan! Just don't go telling people I'm a soft touch!
0,卖,选项3,平,Must be fate that brought us together! {offer} yuan — a friendship discount!
1,卖,选项1,平,"{offer} yuan. A calculated concession, reasonable on every level."
1,卖,选项1,怒,"{opponent}, this isn't about feelings. It's about numbers. {offer} yuan."
1,卖,选项2,平,Let me adjust my offer: {offer} yuan. That's a fair market price.
1,卖,选项2,平,"I'm adjusting to {offer} yuan. Fair trade, honest price."
1,卖,选项3,平,"Given your sincerity — {offer} yuan. Next time, don't be so good at haggling."
1,卖,选项3,得意,"Given your sincerity — {offer} yuan. Next time, don't be so good at haggling."
2,卖,选项1,得意,"Oh, haggling with ME? {opponent}, really? {offer} yuan. Take it or don't."
2,卖,选项1,平,"{offer} yuan... fine, I'm in a good mood today."
2,卖,选项2,平,{offer} yuan! My competitors would never let me hear the end of it — so keep this hush-hush.
2,卖,选项2,得意,{offer} yuan! My competitors would never let me hear the end of it — so keep this hush-hush.
2,卖,选项3,惊,Whoa! With that mouth of yours... {offer} yuan! Just take it already!
2,卖,选项3,平,Fine. You win this round. {offer} yuan.
3,卖,选项1,怒,{offer} yuan! Don't push your luck — my patience has a limit!
3,卖,选项1,怒,"Say that number again, I dare you. {offer} yuan. Final offer!"
3,卖,选项2,怒,...{offer} yuan! Drag this out and I'm pulling the land off the table!
3,卖,选项2,平,"Fine, {offer} yuan. But don't mistake my courtesy for weakness."
3,卖,选项3,得意,"{offer} yuan?! ...Fine, you win this round. Just this once!"
3,卖,选项3,平,{offer} yuan. Last word. Push further and we're done.
0,买,选项1,怒,"{opponent}, I can't make sense of your price! Let me bump to {offer} — friendly territory, right?"
0,买,选项1,平,Don't be like that... {offer} yuan — my wallet's already sweating!
0,买,选项2,平,"Easy now, {offer} yuan! Let's both take a step back."
0,买,选项2,惊,I'm just too kind for my own good — {offer} yuan! Genuinely all I have!
0,买,选项3,惊,...{offer} yuan! That's my monthly budget gone — remember this kindness!
0,买,选项3,平,For a location like this: {offer} yuan! Do we have a deal?
1,买,选项1,平,"{offer} yuan. Market price, not lowballing you."
1,买,选项1,平,"I'm adjusting to {offer} yuan. My reasoning is sound, hear me out."
1,买,选项2,平,{offer} yuan. We each give half. Nobody walks away hurt.
1,买,选项2,平,We're almost there. Let me offer {offer} yuan — a fair number for both sides.
1,买,选项3,平,{offer} yuan! Let's close this — I never waste time.
1,买,选项3,得意,{offer} yuan! Let's close this — I never waste time.
2,买,选项1,平,{offer} yuan? I've seen the books — you paid far less when you bought this.
2,买,选项1,得意,{offer} yuan? I've seen the books — you paid far less when you bought this.
2,买,选项2,平,"{offer} yuan! I'm backing you with real cash here, understand?"
2,买,选项2,得意,"{offer} yuan! I'm backing you with real cash here, understand?"
2,买,选项3,惊,"Fine, fine, FINE! {offer} yuan! Your silver tongue is impossible to resist."
2,买,选项3,平,"So be it, {offer} yuan. I'll make this back in rent later."
3,买,选项1,怒,{offer} yuan. Sell or don't — but don't test my patience!
3,买,选项1,怒,"Try raising that price again, I dare you. {offer} yuan. Final word."
3,买,选项2,怒,...{offer} yuan! That's my absolute limit. Keep stalling and I walk!
3,买,选项2,平,{offer} yuan. I'm warning you — I have no patience for games.
3,买,选项3,惊,"{offer} yuan?! ...Fine, you got lucky today."
3,买,选项3,平,{offer} yuan. That's the number. Yes or no.
0,卖,让步低,怒,"{opponent}, that's barely a concession at all! That's no way to treat a friend!"
0,卖,让步低,怒,My heart goes cold... is this really how you treat old friends?
0,买,让步低,怒,"Oh, that stingy act is killing me here!"
0,买,让步低,怒,"{opponent}, friendship aside, that price is just offensive!"
1,卖,让步低,怒,"{opponent}, that adjustment shows zero sincerity. Frankly."
1,卖,让步低,怒,"We're still far apart on price. At this rate, there's nothing to discuss."
1,买,让步低,怒,...Are you testing my math? That number simply doesn't work.
1,买,让步低,怒,"Negotiation means both sides move. You're standing still, {opponent}."
2,卖,让步低,怒,That's all you're dropping? You're pushing your luck.
2,卖,让步低,得意,That's all you're dropping? You're pushing your luck.
2,买,让步低,怒,"Tch. Playing games with me? You're pushing your luck, {opponent}."
2,买,让步低,怒,That's it? You clearly aren't serious about selling.
3,卖,让步低,怒,Don't try that with me! This is highway robbery! My price doesn't budge!
3,卖,让步低,怒,Pull that trick again and we're done here entirely!
3,买,让步低,怒,"You dare play me? {opponent}, you've got some nerve dropping so little!"
3,买,让步低,怒,Absurd! Keep holding out and enjoy collecting your pathetic rent then!
0,卖,让步中,惊,Ooh! Now THAT's some sincerity... but let's get a bit friendlier still!
0,卖,让步中,平,Now we're talking! I love a good back-and-forth. Keep going!
0,买,让步中,平,That's more like it! Now we're getting somewhere!
0,买,让步中,惊,"Finally making sense! {opponent}, I always knew you were sharp!"
1,卖,让步中,平,That number... now we can have a proper conversation.
1,卖,让步中,平,"Interesting. At this pace, we might actually close this deal."
1,买,让步中,平,Fine. I can accept that adjustment as a reasonable starting point.
1,买,让步中,平,"The gap is closing. {opponent}, you're making much more sense now."
2,卖,让步中,平,Now that's a proper offer! So you DO want this deal after all.
2,卖,让步中,得意,Now that's a proper offer! So you DO want this deal after all.
2,买,让步中,得意,"Smart move! {opponent}, I knew you understood how this works."
2,买,让步中,平,"Hmm, at this number I can almost smell a deal coming."
3,卖,让步中,平,Hmph. Finally some real movement. Continue.
3,卖,让步中,惊,...Not bad. But you're still a step away from my target.
3,买,让步中,平,Better. But my patience is running thin.
3,买,让步中,惊,"Oh, willing to bend now? {opponent}, why didn't you just start with that!"
0,卖,让步高,惊,"Haha, I can smell the deal closing! With sincerity like this, let me meet you there!"
0,卖,让步高,得意,"Haha, I can smell the deal closing! With sincerity like this, let me meet you there!"
0,买,让步高,惊,"Hehe, this land isn't getting away from me today!"
0,买,让步高,得意,"Hehe, this land isn't getting away from me today!"
1,卖,让步高,惊,...That concession exceeds my expectations. We're very close now.
1,卖,让步高,平,Genuine sincerity. So I'll show mine — this deal can happen.
1,买,让步高,惊,"This number... we're practically there, {opponent}."
1,买,让步高,平,I see your sincerity. We're almost there. Let's split the difference.
2,卖,让步高,惊,Now I've got you right where I want you. That's a real movement.
2,卖,让步高,得意,Now I've got you right where I want you. That's a real movement.
2,买,让步高,惊,That's a real concession. Still got it.
2,买,让步高,得意,That's a real concession. Still got it.
3,卖,让步高,惊,See? You're learning how to negotiate with me now!
3,卖,让步高,得意,See? You're learning how to negotiate with me now!
3,买,让步高,惊,Now THAT's how you negotiate with me!
3,买,让步高,得意,Now THAT's how you negotiate with me!
0,卖,成交,得意,"Done! {opponent}, come back soon — friend price, just for you!"
0,买,成交,得意,"Haha, excellent! When this land pays off, dinner's on me!"
1,卖,成交,平,"Deal. A fair number, a solid transaction."
1,买,成交,平,"Deal! A clean, rational trade for both of us."
2,卖,成交,得意,Deal! A pleasure doing business with someone who knows value.
2,买,成交,得意,Deal! This land finally reaches its true potential — in MY hands!
3,卖,成交,得意,"Deal! If you'd been this smart from the start, we'd have saved time!"
3,买,成交,得意,Mine! Remember this day — you just traded with a master.
0,卖,失败,怒,Sigh... deal's off. Rent it is then.
0,买,失败,平,"Oh, what a shame... I'll pay the rent then. Next time!"
1,卖,失败,平,"No deal. A pity, but numbers don't lie. Rent it is."
1,买,失败,平,...Fine. We follow the rules. Rent it is.
2,卖,失败,怒,You'll regret passing on this! Don't come crying later!
2,买,失败,怒,"Fine, stay stubborn. Enjoy your rent — you missed out big time!"
3,卖,失败,怒,Deal's off! I'm not selling this land at a discount!
3,买,失败,怒,We're done here! Good luck making any real money off this land without me!
